GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2022/12/12,22200402,Final,1610612754,1610612748,2022,1610612754,82,0.354,0.75,0.282,16,45,1610612748,87,0.386,0.778,0.265,23,48,0
2022/12/12,22200403,Final,1610612764,1610612751,2022,1610612764,100,0.468,0.682,0.355,21,44,1610612751,112,0.494,0.889,0.296,25,41,0
2022/12/12,22200404,Final,1610612763,1610612737,2022,1610612763,128,0.602,0.833,0.406,36,49,1610612737,103,0.356,0.773,0.324,20,39,1
2022/12/12,22200405,Final,1610612742,1610612760,2022,1610612742,121,0.419,0.84,0.407,24,50,1610612760,114,0.477,0.952,0.323,21,42,1
2022/12/12,22200406,Final,1610612759,1610612739,2022,1610612759,112,0.474,0.688,0.333,25,46,1610612739,111,0.489,0.941,0.217,21,44,1
2022/12/12,22200407,Final,1610612757,1610612750,2022,1610612757,133,0.539,0.762,0.457,32,54,1610612750,112,0.495,0.526,0.37,25,37,1
2022/12/12,22200408,Final,1610612746,1610612738,2022,1610612746,113,0.489,0.714,0.4,18,46,1610612738,93,0.434,0.692,0.231,27,36,1
2022/12/11,22200395,Final,1610612740,1610612756,2022,1610612740,129,0.581,0.75,0.32,31,43,1610612756,124,0.467,0.765,0.342,34,42,1
2022/12/11,22200396,Final,1610612765,1610612747,2022,1610612765,117,0.462,0.824,0.378,28,40,1610612747,124,0.548,0.778,0.423,31,42,0
2022/12/11,22200397,Final,1610612752,1610612758,2022,1610612752,112,0.449,0.889,0.229,19,55,1610612758,99,0.398,0.657,0.256,20,41,1
2022/12/11,22200398,Final,1610612753,1610612761,2022,1610612753,111,0.468,0.806,0.452,25,42,1610612761,99,0.4,0.868,0.24,18,28,1
2022/12/11,22200399,Final,1610612755,1610612766,2022,1610612755,131,0.554,0.813,0.481,31,41,1610612766,113,0.409,0.867,0.367,21,45,1
2022/12/11,22200400,Final,1610612737,1610612741,2022,1610612737,123,0.48,0.762,0.333,28,45,1610612741,122,0.48,0.826,0.259,28,53,1
2022/12/11,22200401,Final,1610612745,1610612749,2022,1610612745,97,0.44,0.917,0.222,23,49,1610612749,92,0.367,0.778,0.279,18,52,1
2022/12/10,22200387,Final,1610612748,1610612759,2022,1610612748,111,0.481,0.714,0.382,26,32,1610612759,115,0.538,0.774,0.333,24,46,0
2022/12/10,22200388,Final,1610612754,1610612751,2022,1610612754,133,0.553,0.75,0.477,30,30,1610612751,136,0.52,0.719,0.321,19,59,0
2022/12/10,22200389,Final,1610612764,1610612746,2022,1610612764,107,0.435,0.895,0.471,24,50,1610612746,114,0.426,0.938,0.396,22,42,0
2022/12/10,22200390,Final,1610612739,1610612760,2022,1610612739,110,0.471,0.692,0.375,25,48,1610612760,102,0.458,0.8,0.345,25,40,1
2022/12/10,22200391,Final,1610612741,1610612742,2022,1610612741,144,0.635,0.708,0.559,33,44,1610612742,115,0.456,0.846,0.25,24,37,1
2022/12/10,22200392,Final,1610612744,1610612738,2022,1610612744,123,0.511,0.8,0.333,26,53,1610612738,107,0.437,0.731,0.3,17,39,1
2022/12/10,22200393,Final,1610612743,1610612762,2022,1610612743,115,0.547,0.813,0.308,28,39,1610612762,110,0.459,0.81,0.366,20,42,1
2022/12/10,22200394,Final,1610612757,1610612750,2022,1610612757,124,0.518,0.893,0.382,20,45,1610612750,118,0.542,0.75,0.435,22,28,1
2022/12/9,22200377,Final,1610612766,1610612752,2022,1610612766,102,0.44,0.786,0.231,16,45,1610612752,121,0.441,0.867,0.382,25,48,0
2022/12/9,22200378,Final,1610612754,1610612764,2022,1610612754,121,0.506,0.85,0.439,23,40,1610612764,111,0.532,0.76,0.345,25,38,1
2022/12/9,22200379,Final,1610612753,1610612761,2022,1610612753,113,0.592,0.905,0.385,24,43,1610612761,109,0.424,0.818,0.286,23,33,1
2022/12/9,22200380,Final,1610612751,1610612737,2022,1610612751,120,0.542,0.81,0.433,30,38,1610612737,116,0.495,0.875,0.345,21,38,1
2022/12/9,22200381,Final,1610612739,1610612758,2022,1610612739,95,0.43,0.773,0.333,20,36,1610612758,106,0.53,0.625,0.485,21,38,0
2022/12/9,22200382,Final,1610612755,1610612747,2022,1610612755,133,0.533,0.864,0.45,30,42,1610612747,122,0.5,0.767,0.355,29,37,1
2022/12/9,22200383,Final,1610612763,1610612765,2022,1610612763,114,0.484,0.531,0.281,30,48,1610612765,103,0.4,0.741,0.314,23,47,1
2022/12/9,22200384,Final,1610612740,1610612756,2022,1610612740,128,0.511,0.8,0.296,27,44,1610612756,117,0.5,0.692,0.5,30,37,1
2022/12/9,22200385,Final,1610612762,1610612750,2022,1610612762,108,0.433,0.708,0.295,22,40,1610612750,118,0.532,0.769,0.4,30,44,0
2022/12/9,22200386,Final,1610612742,1610612749,2022,1610612742,105,0.466,0.417,0.325,21,43,1610612749,106,0.437,0.826,0.344,27,51,0
2022/12/8,22200374,Final,1610612748,1610612746,2022,1610612748,115,0.511,0.786,0.375,24,43,1610612746,110,0.463,0.905,0.472,24,43,1
2022/12/8,22200375,Final,1610612759,1610612745,2022,1610612759,118,0.554,0.867,0.361,25,38,1610612745,109,0.449,0.733,0.345,23,42,1
2022/12/8,22200376,Final,1610612757,1610612743,2022,1610612757,120,0.484,1,0.4,30,38,1610612743,121,0.516,0.682,0.4,28,48,0
2022/12/7,22200363,Final,1610612753,1610612746,2022,1610612753,116,0.421,0.903,0.286,20,53,1610612746,111,0.411,0.692,0.366,26,53,1
2022/12/7,22200364,Final,1610612751,1610612766,2022,1610612751,122,0.57,0.75,0.387,33,39,1610612766,116,0.534,0.522,0.417,25,40,1
2022/12/7,22200365,Final,1610612752,1610612737,2022,1610612752,113,0.446,0.917,0.472,26,55,1610612737,89,0.376,0.792,0.167,16,39,1
2022/12/7,22200366,Final,1610612761,1610612747,2022,1610612761,126,0.443,0.833,0.279,25,54,1610612747,113,0.425,0.914,0.212,16,46,1
2022/12/7,22200367,Final,1610612741,1610612764,2022,1610612741,115,0.5,0.882,0.435,29,41,1610612764,111,0.488,0.69,0.29,22,38,1
2022/12/7,22200368,Final,1610612763,1610612760,2022,1610612763,123,0.511,0.813,0.368,32,50,1610612760,102,0.37,0.87,0.368,25,48,1
2022/12/7,22200369,Final,1610612749,1610612758,2022,1610612749,126,0.479,0.833,0.424,34,50,1610612758,113,0.473,0.938,0.316,19,40,1
2022/12/7,22200370,Final,1610612750,1610612754,2022,1610612750,121,0.473,0.926,0.348,25,51,1610612754,115,0.481,0.75,0.452,22,31,1
2022/12/7,22200371,Final,1610612740,1610612765,2022,1610612740,104,0.459,0.783,0.296,21,50,1610612765,98,0.389,0.813,0.357,17,42,1
2022/12/7,22200372,Final,1610612762,1610612744,2022,1610612762,124,0.535,0.81,0.429,26,40,1610612744,123,0.459,0.76,0.333,26,42,1
2022/12/7,22200373,Final,1610612756,1610612738,2022,1610612756,98,0.398,0.842,0.25,19,49,1610612738,125,0.485,0.846,0.356,29,53,0
2022/12/6,22200360,Final,1610612739,1610612747,2022,1610612739,116,0.516,0.765,0.259,25,44,1610612747,102,0.427,0.833,0.167,16,43,1
2022/12/6,22200361,Final,1610612748,1610612765,2022,1610612748,96,0.429,0.769,0.313,21,40,1610612765,116,0.494,0.733,0.463,27,40,0
2022/12/6,22200362,Final,1610612743,1610612742,2022,1610612743,115,0.513,0.786,0.406,30,36,1610612742,116,0.5,0.871,0.472,27,35,0
2022/12/5,22200352,Final,1610612766,1610612746,2022,1610612766,117,0.48,0.647,0.353,29,49,1610612746,119,0.484,0.667,0.417,30,47,0
2022/12/5,22200353,Final,1610612753,1610612749,2022,1610612753,102,0.366,0.897,0.25,21,52,1610612749,109,0.447,0.769,0.325,31,45,0
2022/12/5,22200354,Final,1610612737,1610612760,2022,1610612737,114,0.431,0.765,0.342,24,54,1610612760,121,0.453,0.958,0.353,25,49,0
2022/12/5,22200355,Final,1610612761,1610612738,2022,1610612761,110,0.459,0.733,0.357,19,46,1610612738,116,0.489,0.714,0.361,27,49,0
2022/12/5,22200356,Final,1610612745,1610612755,2022,1610612745,132,0.447,0.773,0.359,19,51,1610612755,123,0.448,0.778,0.472,23,39,1
2022/12/5,22200357,Final,1610612763,1610612748,2022,1610612763,101,0.467,1,0.25,23,41,1610612748,93,0.392,0.773,0.35,23,45,1
2022/12/5,22200358,Final,1610612742,1610612756,2022,1610612742,130,0.524,0.846,0.488,23,41,1610612756,111,0.44,0.692,0.351,28,41,1
2022/12/5,22200359,Final,1610612744,1610612754,2022,1610612744,104,0.404,0.789,0.295,26,47,1610612754,112,0.478,0.611,0.385,26,47,0
2022/12/4,22200344,Final,1610612740,1610612743,2022,1610612740,121,0.506,0.778,0.423,29,36,1610612743,106,0.506,0.667,0.258,24,43,1
2022/12/4,22200345,Final,1610612759,1610612756,2022,1610612759,95,0.437,0.722,0.194,19,40,1610612756,133,0.521,0.8,0.514,38,45,0
2022/12/4,22200346,Final,1610612751,1610612738,2022,1610612751,92,0.405,0.682,0.346,17,45,1610612738,103,0.432,0.9,0.395,18,48,0
2022/12/4,22200347,Final,1610612765,1610612763,2022,1610612765,112,0.44,0.833,0.371,26,39,1610612763,122,0.467,0.724,0.429,28,46,0
2022/12/4,22200348,Final,1610612752,1610612739,2022,1610612752,92,0.407,0.81,0.172,17,54,1610612739,81,0.349,0.75,0.229,17,39,1
2022/12/4,22200349,Final,1610612764,1610612747,2022,1610612764,119,0.467,0.733,0.256,24,44,1610612747,130,0.542,0.727,0.385,34,51,0
2022/12/4,22200350,Final,1610612758,1610612741,2022,1610612758,110,0.465,0.895,0.302,30,46,1610612741,101,0.442,0.842,0.36,17,39,1
2022/12/4,22200351,Final,1610612757,1610612754,2022,1610612757,116,0.488,0.682,0.425,32,45,1610612754,100,0.44,0.833,0.303,22,44,1
2022/12/3,22200337,Final,1610612752,1610612742,2022,1610612752,100,0.455,0.714,0.323,18,45,1610612742,121,0.43,0.786,0.393,27,50,0
2022/12/3,22200338,Final,1610612746,1610612758,2022,1610612746,96,0.355,0.808,0.273,15,50,1610612758,123,0.517,0.667,0.344,31,46,0
2022/12/3,22200339,Final,1610612766,1610612749,2022,1610612766,96,0.391,0.885,0.208,15,44,1610612749,105,0.47,0.789,0.375,24,47,0
2022/12/3,22200340,Final,1610612761,1610612753,2022,1610612761,121,0.56,0.72,0.31,31,43,1610612753,108,0.487,0.808,0.393,23,29,1
2022/12/3,22200341,Final,1610612750,1610612760,2022,1610612750,128,0.528,0.8,0.333,25,44,1610612760,135,0.516,0.8,0.423,26,42,0
2022/12/3,22200342,Final,1610612744,1610612745,2022,1610612744,120,0.529,0.5,0.481,34,35,1610612745,101,0.44,0.9,0.107,17,45,1
2022/12/3,22200343,Final,1610612762,1610612757,2022,1610612762,111,0.452,0.786,0.361,20,44,1610612757,116,0.482,0.774,0.4,19,49,0
2022/12/2,22200326,Final,1610612766,1610612764,2022,1610612766,117,0.421,0.806,0.414,25,45,1610612764,116,0.453,0.743,0.364,23,56,1
2022/12/2,22200327,Final,1610612737,1610612743,2022,1610612737,117,0.557,0.643,0.357,24,43,1610612743,109,0.529,0.538,0.375,31,33,1
2022/12/2,22200328,Final,1610612738,1610612748,2022,1610612738,116,0.46,0.75,0.333,26,48,1610612748,120,0.475,0.722,0.314,19,50,0
2022/12/2,22200329,Final,1610612751,1610612761,2022,1610612751,114,0.537,0.682,0.344,27,41,1610612761,105,0.437,0.733,0.292,16,43,1
2022/12/2,22200330,Final,1610612739,1610612753,2022,1610612739,107,0.488,1,0.381,22,33,1610612753,96,0.494,0.667,0.348,19,40,1
2022/12/2,22200331,Final,1610612749,1610612747,2022,1610612749,129,0.532,0.8,0.395,29,42,1610612747,133,0.542,0.75,0.423,32,44,0
2022/12/2,22200332,Final,1610612763,1610612755,2022,1610612763,117,0.433,0.786,0.367,22,57,1610612755,109,0.44,0.882,0.424,23,42,1
2022/12/2,22200333,Final,1610612759,1610612740,2022,1610612759,99,0.388,0.75,0.282,26,49,1610612740,117,0.435,0.962,0.286,25,53,0
2022/12/2,22200334,Final,1610612756,1610612745,2022,1610612756,121,0.529,0.737,0.459,30,37,1610612745,122,0.494,0.791,0.333,19,41,0
2022/12/2,22200335,Final,1610612762,1610612754,2022,1610612762,139,0.554,0.865,0.441,29,47,1610612754,119,0.435,0.818,0.353,25,35,1
2022/12/2,22200336,Final,1610612744,1610612741,2022,1610612744,119,0.483,0.652,0.4,32,50,1610612741,111,0.462,0.667,0.333,28,44,1
2022/12/1,22200325,Final,1610612765,1610612742,2022,1610612765,131,0.543,0.583,0.429,29,52,1610612742,125,0.535,0.483,0.413,25,30,1
2022/11/30,22200312,Final,1610612739,1610612755,2022,1610612739,113,0.608,0.8,0.517,28,40,1610612755,85,0.416,0.833,0.231,19,30,1
2022/11/30,22200313,Final,1610612753,1610612737,2022,1610612753,108,0.494,0.88,0.296,26,33,1610612737,125,0.543,0.789,0.25,25,49,0
2022/11/30,22200314,Final,1610612738,1610612748,2022,1610612738,134,0.554,0.87,0.489,32,41,1610612748,121,0.522,1,0.45,25,32,1
2022/11/30,22200315,Final,1610612751,1610612764,2022,1610612751,113,0.464,0.923,0.423,22,35,1610612764,107,0.438,0.676,0.25,19,51,1
2022/11/30,22200316,Final,1610612752,1610612749,2022,1610612752,103,0.42,0.65,0.2,18,55,1610612749,109,0.433,0.808,0.286,23,52,0
2022/11/30,22200317,Final,1610612750,1610612763,2022,1610612750,109,0.461,0.789,0.308,26,29,1610612763,101,0.425,0.6,0.346,17,59,1
2022/11/30,22200318,Final,1610612740,1610612761,2022,1610612740,126,0.523,0.846,0.424,28,52,1610612761,108,0.477,0.684,0.289,29,30,1
2022/11/30,22200319,Final,1610612760,1610612759,2022,1610612760,119,0.511,0.667,0.333,17,52,1610612759,111,0.446,0.76,0.27,27,44,1
2022/11/30,22200320,Final,1610612743,1610612745,2022,1610612743,120,0.53,0.75,0.531,30,42,1610612745,100,0.42,0.778,0.293,18,39,1
2022/11/30,22200321,Final,1610612756,1610612741,2022,1610612756,132,0.527,0.905,0.455,22,46,1610612741,113,0.5,0.818,0.16,21,35,1
2022/11/30,22200322,Final,1610612762,1610612746,2022,1610612762,125,0.556,0.75,0.438,24,46,1610612746,112,0.398,0.778,0.333,16,39,1
2022/11/30,22200323,Final,1610612758,1610612754,2022,1610612758,137,0.505,0.862,0.372,28,58,1610612754,114,0.4,0.733,0.324,28,47,1
2022/11/30,22200324,Final,1610612747,1610612757,2022,1610612747,128,0.495,0.692,0.378,28,48,1610612757,109,0.467,0.81,0.333,21,45,1
2022/11/29,22200309,Final,1610612765,1610612752,2022,1610612765,110,0.506,0.65,0.333,28,30,1610612752,140,0.563,0.762,0.457,31,51,0
2022/11/29,22200310,Final,1610612742,1610612744,2022,1610612742,116,0.462,0.63,0.341,21,39,1610612744,113,0.477,0.783,0.256,27,50,1
2022/11/29,22200311,Final,1610612757,1610612746,2022,1610612757,112,0.467,0.733,0.486,24,43,1610612746,118,0.461,0.821,0.419,26,48,0
2022/11/28,22200299,Final,1610612755,1610612737,2022,1610612755,104,0.453,0.889,0.357,23,37,1610612737,101,0.5,0.682,0.444,26,42,1
2022/11/28,22200300,Final,1610612764,1610612750,2022,1610612764,142,0.571,0.852,0.484,31,34,1610612750,127,0.5,0.857,0.259,20,45,1
2022/11/28,22200301,Final,1610612738,1610612766,2022,1610612738,140,0.591,0.857,0.462,40,39,1610612766,105,0.488,0.667,0.379,28,37,1
2022/11/28,22200302,Final,1610612751,1610612753,2022,1610612751,109,0.543,0.857,0.321,20,42,1610612753,102,0.475,0.591,0.419,18,35,1
2022/11/28,22200303,Final,1610612761,1610612739,2022,1610612761,100,0.44,0.824,0.429,23,45,1610612739,88,0.378,0.813,0.184,21,47,1
2022/11/28,22200304,Final,1610612740,1610612760,2022,1610612740,105,0.448,0.9,0.281,21,49,1610612760,101,0.37,0.913,0.316,16,47,1
2022/11/28,22200305,Final,1610612743,1610612745,2022,1610612743,129,0.568,0.85,0.4,31,43,1610612745,113,0.459,0.76,0.364,25,37,1
2022/11/28,22200306,Final,1610612762,1610612741,2022,1610612762,107,0.482,0.4,0.388,30,45,1610612741,114,0.462,0.88,0.273,21,50,0
2022/11/28,22200307,Final,1610612758,1610612756,2022,1610612758,117,0.523,0.889,0.36,32,37,1610612756,122,0.532,0.857,0.313,26,45,0
2022/11/28,22200308,Final,1610612747,1610612754,2022,1610612747,115,0.43,0.774,0.355,23,57,1610612754,116,0.41,0.813,0.347,29,49,0
2022/11/27,22200290,Final,1610612751,1610612757,2022,1610612751,111,0.526,0.778,0.429,27,38,1610612757,97,0.443,0.682,0.364,27,42,1
